"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragement","Accessory Order with Fragment","QC","query_1","query_2","query_5"
"hly","","Alpha-toxin","2","2","1","1","1",,,"","1_1","2_1___1",""
"group_10","","hypothetical protein","2","2","1","1","8",,,"","abc_00010","abc_00010___10",""
"group_11","","C4-dicarboxylate transporter/malic acid transport protein","2","2","1","1","7",,,"","abc_00011","abc_00011___11",""
"group_12","","hypothetical protein","2","2","1","1","6",,,"","abc_00012","abc_00012___12",""
"group_13","","Gonococcal growth inhibitor III","2","2","1","1","5",,,"","abc_00014","abc_00014___14",""
"group_14","","Gonococcal growth inhibitor III","2","2","1","1","4",,,"","1_6","2_7___15",""
"yfnB","","Putative HAD-hydrolase yfnB","2","2","1","1","3",,,"","abc_00016","abc_00016___16",""
"group_2","","hypothetical protein","2","2","1","1","2",,,"","abc_00002","abc_00002___2",""
"group_3","","hypothetical protein","2","2","1","1","15",,,"","abc_00003","abc_00003___3",""
"group_4","","superantigen-like protein","2","2","1","1","14",,,"","abc_00004","abc_00004___4",""
"speH","","hypothetical protein","2","2","1","1","13",,,"","1_2","2_2___5",""
"group_6","","superantigen-like protein","2","2","1","1","12",,,"","abc_00006","abc_00006___6",""
"argF","","Ornithine carbamoyltransferase","2","2","1","1","11",,,"","1_3","2_3___7",""
"arcC1","","Carbamate kinase 1","2","2","1","1","10",,,"","abc_00008","abc_00008___8",""
"group_9","","16S ribosomal RNA","2","2","1","1","9",,,"","abc_01705","abc_01705___9",""
"group_16","","hypothetical protein","1","1","1","2","1","1","1","","","","abc_50002"
"group_17","argF","Ornithine carbamoyltransferase","1","1","1","2","2","1","2","","","","3_3"
"group_18","","hypothetical protein","1","1","1","2","3","1","3","","","","abc_50010"
"group_19","","hypothetical protein","1","1","1","2","4","1","4","","","","abc_50012"
"group_20","","Gonococcal growth inhibitor III","1","1","1","2","5","1","5","","","","abc_50014"
"group_21","yfnB","Putative HAD-hydrolase yfnB","1","1","1","2","6","1","6","","","","3_5"
